name,sex,country_cod),country,affiliate_name,age,height,weight
Hunter Holifield,M,US,United States,Yune CrossFit,22,70 in,195 lb
Travis Mead,M,US,United States,Iron Valley CrossFit,33,73 in,205 lb
Eric Evans,M,US,United States,Gold Standard Athletics CrossFit,29,70 in,178 lb
Austin Bolen,M,US,United States,CrossFit Trivium,29,,
Craig Kenney,M,US,United States,Branford CrossFit,33,72 in,203 lb
Jeremiah Brewster,M,US,United States,CrossFit Rx,28,,
Reggie Fasa,M,GB,United Kingdom,CrossFit Sunderland SR1,25,172 cm,90 kg
Guilherme Malheiros,M,BR,Brazil,Cavaleiros CrossFit,20,176 cm,87 kg
Colten Mertens,M,US,United States,CrossFit Kilo,22,64 in,185 lb
Kyle Bernier,M,US,United States,CrossFit Passion,27,70 in,198 lb
Hudson Fricke,M,US,United States,Southern Moon CrossFit,31,73 in,205 lb
Austin Spencer,M,US,United States,CrossFit MF,27,70 in,195 lb
Alex Vigneault,M,CA,Canada,,28,71 in,208 lb
Carlos Albaladejo,M,US,United States,CrossFit Marvel,32,67 in,175 lb
Mitch Spjut,M,US,United States,Wasatch CrossFit,26,69 in,193 lb
Grant Belrose,M,US,United States,936 CrossFit,28,72 in,195 lb
Nicholas Urankar,M,US,United States,CrossFit 061,36,70 in,192 lb
Tyler Lee,M,CA,Canada,CrossFit Resurrection,30,70 in,195 lb
Kevin Steinhaus,M,US,United States,STAX CrossFit,32,74 in,215 lb
Joey Tortora,M,US,United States,CrossFit Kite and Key,29,70 in,195 lb
Stefano Carosso,M,IT,Italy,CrossFit Sabaudia,25,189 cm,92 kg
Manuel Gallegos,M,MX,Mexico,,27,174 cm,81 kg
Scott Cottrill,M,US,United States,CrossFit Grandview,27,,
Cody Mooney,M,US,United States,CrossFit Solace,26,72 in,210 lb
Oleg Lascenko,M,GB,United Kingdom,Iron Phoenix CrossFit,22,176 cm,80 kg
Arthur Semenov,M,RU,Russian Federation,Red Tower CrossFit,27,187 cm,97 kg
